date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2021-03-01,63.34999847412109,67.3499984741211,62.650001525878906,65.92500305175781,1111522,0.0,0.0,0.056067342530608855,0.3756664476679279,-0.043536794444470915,575122.0,62.78522409684614,0.028070223029361685,0.9980280200423057,0.1492476674086507,49.408292963785165
2021-03-02,66.44999694824219,68.3499984741211,64.0,67.2750015258789,886214,0.0,0.0,0.02047779160603458,0.384564662088416,-0.04326745930411047,595575.4,62.82989849912508,0.07296651845726343,0.9755852661226878,0.05324927923001334,54.72497128843208
2021-03-03,67.6500015258789,70.94999694824219,66.5999984741211,69.7249984741211,2369520,0.0,0.0,0.036417642403170136,0.40698268702369506,-0.04267860225089944,691906.3,62.89850645907529,0.10630697002825262,0.9412334425174759,0.0894820410535779,59.62263341207248
2021-03-04,72.0,77.5,71.5,73.19999694824219,9582826,0.0,0.0,0.04983863105297681,0.4403377940254825,-0.04208974519768842,1149995.3,63.00100885200233,0.1669987840405105,0.8995218990731119,0.11318272153188244,67.96008853243472
2021-03-05,74.4000015258789,76.4000015258789,69.05000305175781,71.8499984741211,2573730,0.0,0.0,-0.018442602874364056,0.4427293239139296,-0.0415008881444774,1248759.9,63.08905849998361,0.15098116703644426,0.9198851996432608,-0.04165660926806684,69.81776301214741
2021-03-08,72.42500305175781,73.375,69.5999984741211,70.7750015258789,932706,0.0,0.0,-0.014961683661404379,0.4330342036778702,-0.04091203109126637,1274056.5,63.16553554501739,0.07356842244380868,0.935623437132982,-0.03455081189620325,65.58659954042247
2021-03-09,70.82499694824219,72.5,68.4000015258789,69.0,665104,0.0,0.0,-0.025079498235402786,0.4383976111052238,-0.040323174038055354,1274995.9,63.223589917703784,0.025641002378238964,0.961775365083114,-0.05720719508508288,55.724293203225294
2021-03-10,70.19999694824219,70.69999694824219,67.5,67.80000305175781,458672,0.0,0.0,-0.017391260119452023,0.4278819469298944,-0.03973431698484433,1277505.8,63.26912636679885,-0.027608396765727572,0.9804203160414651,-0.04064499527915701,50.975896735139656
2021-03-12,68.25,70.19999694824219,68.0,68.55000305175781,720754,0.0,0.0,0.011061946404743672,0.42764391156365905,-0.039145459931633306,1294352.2,63.32167240346511,-0.06352450943095345,0.9716265139422587,0.025867189610216387,53.43856074647255
2021-03-15,68.9000015258789,69.30000305175781,67.75,68.3499984741211,551788,0.0,0.0,-0.0029176450581002156,0.4279600210985737,-0.03855660287842228,1309166.1,63.37170549869552,-0.04871259671996553,0.9768471395239369,-0.006817564366024133,60.84723654629068
2021-03-16,68.375,70.17500305175781,67.4749984741211,69.0,356422,0.0,0.0,0.009509898176881526,0.4254588291865984,-0.03796774582521126,1301584.4,63.42770842905676,-0.025079498235402786,0.9718840640524159,0.022352099194983842,66.84491655845389
