date,open,high,low,close,volume,split_ratio,dividend
2026-03-18,455.0,463.8999938964844,452.54998779296875,458.8500061035156,3362845,0.0,0.0
2026-03-19,454.0,454.95001220703125,438.3999938964844,440.6499938964844,1517788,0.0,0.0
2026-03-20,443.8999938964844,453.95001220703125,443.54998779296875,447.29998779296875,1689715,0.0,0.0
2026-03-23,442.95001220703125,442.95001220703125,421.45001220703125,423.75,2538797,0.0,0.0
2026-03-24,435.0,439.0,423.3999938964844,433.1000061035156,2423789,0.0,0.0
2026-03-25,443.0,450.54998779296875,435.70001220703125,445.1499938964844,1469610,0.0,0.0
2026-03-27,441.0,442.75,432.8500061035156,438.20001220703125,2067540,0.0,0.0
2026-03-30,431.95001220703125,434.20001220703125,423.5,425.29998779296875,3050426,0.0,0.0
2026-04-01,437.95001220703125,452.54998779296875,434.0,444.54998779296875,1113085,0.0,0.0
2026-04-02,438.0,441.0,429.0,439.25,1378288,0.0,0.0
2026-04-06,441.6499938964844,453.0,435.79998779296875,450.45001220703125,1590046,0.0,0.0
2026-04-07,449.79998779296875,454.95001220703125,443.29998779296875,453.6000061035156,1360169,0.0,0.0
2026-04-08,465.0,475.0,464.5,473.70001220703125,1435680,0.0,0.0
2026-04-09,473.70001220703125,483.3999938964844,463.8500061035156,482.25,1905747,0.0,0.0
2026-04-10,485.70001220703125,490.8500061035156,479.20001220703125,483.70001220703125,1714106,0.0,0.0
2026-04-13,476.1000061035156,482.6499938964844,467.5,481.54998779296875,743371,0.0,0.0
2026-04-15,486.20001220703125,492.3999938964844,484.8500061035156,489.20001220703125,1349136,0.0,0.0
2026-04-16,496.8500061035156,505.0,490.1000061035156,502.25,2409864,0.0,0.0
2026-04-17,505.0,511.8500061035156,499.8500061035156,503.1000061035156,1669379,0.0,0.0
2026-04-20,506.04998779296875,509.0,498.54998779296875,501.04998779296875,1272469,0.0,0.0
2026-04-21,501.75,510.95001220703125,501.75,504.20001220703125,909766,0.0,0.0
2026-04-22,502.5,517.5,502.0,515.7000122070312,1252575,0.0,0.0
2026-04-23,516.0,516.9000244140625,502.29998779296875,505.04998779296875,1041939,0.0,0.0
2026-04-24,505.04998779296875,506.8999938964844,499.04998779296875,502.79998779296875,1012434,0.0,0.0
2026-04-27,505.1499938964844,521.7999877929688,505.1499938964844,514.2000122070312,2167552,0.0,0.0
2026-04-28,517.0,519.1500244140625,508.79998779296875,510.5,1034888,0.0,0.0
2026-04-29,514.0,521.9500122070312,508.5,514.5999755859375,1348894,0.0,0.0
2026-04-30,510.6000061035156,512.0499877929688,506.0,508.8500061035156,1678788,0.0,0.0
2026-05-01,508.8500061035156,508.8500061035156,508.8500061035156,508.8500061035156,0,0.0,0.0
2026-05-04,509.5,519.9000244140625,509.5,516.3499755859375,580558,0.0,0.0
2026-05-05,516.4500122070312,521.0,512.9000244140625,518.0499877929688,591189,0.0,0.0
2026-05-06,522.0,527.0,518.0999755859375,524.2000122070312,952579,0.0,0.0
2026-05-07,527.0,528.9000244140625,523.0,526.7000122070312,1033035,0.0,0.0
2026-05-08,526.6500244140625,537.0,524.25,534.75,1130482,0.0,0.0
2026-05-11,535.75,535.75,528.0499877929688,530.0,1278998,0.0,0.0
2026-05-12,527.3499755859375,529.6500244140625,511.6000061035156,516.0,3366124,0.0,0.0
2026-05-13,512.5999755859375,525.3499755859375,512.5999755859375,519.8499755859375,1928354,0.0,0.0
2026-05-14,522.3499755859375,527.75,517.9500122070312,522.9500122070312,716091,0.0,0.0
2026-05-15,527.0,527.8499755859375,516.5,518.7999877929688,498510,0.0,0.0
2026-05-18,513.0,513.3499755859375,499.29998779296875,501.95001220703125,1078736,0.0,0.0
2026-05-19,501.95001220703125,510.70001220703125,501.0,505.6000061035156,519504,0.0,0.0
2026-05-20,500.5,507.6000061035156,493.0,504.1499938964844,1240036,0.0,0.0
2026-05-21,506.6499938964844,510.5,497.5,505.8999938964844,2978741,0.0,0.0
2026-05-22,507.45001220703125,511.1499938964844,505.0,505.8999938964844,643269,0.0,0.0
2026-05-25,509.0,513.5,506.8999938964844,512.0499877929688,720289,0.0,0.0
2026-05-26,490.79998779296875,494.8999938964844,472.6000061035156,475.8999938964844,9180116,0.0,0.0
2026-05-27,480.5,480.8500061035156,470.29998779296875,472.29998779296875,3621683,0.0,0.0
2026-05-28,472.29998779296875,472.29998779296875,472.29998779296875,472.29998779296875,0,0.0,0.0
2026-05-29,472.95001220703125,477.6499938964844,460.1499938964844,463.6499938964844,2702698,0.0,0.0
2026-06-01,465.1000061035156,469.8999938964844,457.0,464.1000061035156,1343567,0.0,0.0
2026-06-02,461.95001220703125,464.1499938964844,455.5,459.45001220703125,1147202,0.0,0.0
2026-06-03,461.0,461.8999938964844,446.0,451.8999938964844,1889989,0.0,0.0
2026-06-04,451.8999938964844,455.25,448.20001220703125,454.3500061035156,1542940,0.0,0.0
2026-06-05,452.54998779296875,457.79998779296875,446.79998779296875,450.95001220703125,1855533,0.0,0.0
2026-06-08,447.0,447.95001220703125,441.79998779296875,445.3500061035156,1358236,0.0,0.0
2026-06-09,446.8999938964844,453.95001220703125,444.75,452.95001220703125,1217998,0.0,0.0
2026-06-10,454.0,454.20001220703125,442.79998779296875,445.5,1089181,0.0,0.0
2026-06-11,442.79998779296875,443.8999938964844,437.45001220703125,440.25,1235614,0.0,0.0
2026-06-12,444.0,451.3500061035156,438.6000061035156,450.20001220703125,1777288,0.0,0.0
2026-06-15,456.04998779296875,463.70001220703125,456.04998779296875,459.3500061035156,1704181,0.0,0.0
2026-06-16,461.8999938964844,466.04998779296875,454.1000061035156,463.3500061035156,1774689,0.0,0.0
2026-06-17,467.8500061035156,468.5,462.54998779296875,467.0,785113,0.0,0.0
2026-06-18,468.3999938964844,469.04998779296875,463.5,467.1499938964844,610678,0.0,0.0
2026-06-19,465.45001220703125,472.75,462.75,471.75,1684768,0.0,0.0
2026-06-22,476.0,476.79998779296875,471.75,473.6499938964844,1587379,0.0,0.0
2026-06-23,474.0,484.6499938964844,472.0,479.25,2396783,0.0,0.0
2026-06-24,477.0,477.8999938964844,468.45001220703125,473.95001220703125,695603,0.0,0.0
2026-06-25,475.95001220703125,481.0,468.79998779296875,469.79998779296875,1403942,0.0,0.0
2026-06-26,469.79998779296875,469.79998779296875,469.79998779296875,469.79998779296875,0,0.0,0.0
2026-06-29,468.6499938964844,474.20001220703125,465.45001220703125,471.0,1503227,0.0,0.0
2026-06-30,473.0,478.95001220703125,468.3500061035156,475.25,1229797,0.0,0.0
2026-07-01,475.25,482.3500061035156,473.79998779296875,480.25,786234,0.0,0.0
2026-07-02,484.8999938964844,484.8999938964844,476.04998779296875,477.45001220703125,2060994,0.0,0.0
2026-07-03,480.0,491.04998779296875,477.20001220703125,488.20001220703125,6696249,0.0,0.0
2026-07-06,490.0,491.0,479.54998779296875,481.29998779296875,2424967,0.0,0.0
2026-07-07,484.0,484.0,470.54998779296875,472.75,723775,0.0,0.0
2026-07-08,469.0,470.0,448.45001220703125,451.3999938964844,1718940,0.0,0.0
2026-07-09,452.04998779296875,460.20001220703125,452.04998779296875,457.1000061035156,511426,0.0,0.0
2026-07-10,462.0,470.54998779296875,461.6499938964844,463.75,2960717,0.0,0.0
2026-07-13,460.8999938964844,470.3999938964844,456.20001220703125,463.95001220703125,3105163,0.0,0.0
2026-07-14,468.1000061035156,496.0,468.1000061035156,493.1499938964844,14171169,0.0,0.0
2026-07-15,493.0,496.8999938964844,488.75,492.8999938964844,2000945,0.0,0.0
2026-07-16,492.0,494.70001220703125,485.3500061035156,490.29998779296875,912852,0.0,0.0
2026-07-17,492.0,492.0,484.3500061035156,486.8999938964844,449962,0.0,0.0
2026-07-20,490.0,500.0,485.04998779296875,499.0,1904746,0.0,0.0
2026-07-21,499.0,499.0,490.0,491.6499938964844,918729,0.0,0.0
2026-07-22,489.0,492.0,478.20001220703125,481.3999938964844,905534,0.0,0.0
2026-07-23,484.0,487.8500061035156,477.70001220703125,480.5,840000,0.0,0.0
2026-07-24,478.8999938964844,484.20001220703125,474.3999938964844,477.54998779296875,579577,0.0,0.0
2026-07-27,470.0,515.2999877929688,469.95001220703125,510.5,13227175,0.0,0.0
2026-07-28,514.5,527.9500122070312,511.70001220703125,522.4000244140625,7636437,0.0,0.0
2026-07-29,525.0,530.5,523.0499877929688,525.8499755859375,1843068,0.0,0.0
2026-07-30,525.8499755859375,529.9500122070312,522.25,525.1500244140625,1129654,0.0,0.0
2026-07-31,527.7000122070312,528.9500122070312,520.8499755859375,525.5,1280939,0.0,0.0
